"","users","evcent","in.degree","out.degree","total.degree","betweenness","transitivity","coreness","turnover","p","n","s","n.pull","n.issue","n.issue.c","n.pull.c","n.commit","n.interactions"
"154",17791,0,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,1,2
"155",160764,0.0407294227854793,50,50,50,5546.36176781515,0.444081632653061,28,TRUE,0,0,0,11,0,2,10,4,27
"156",52501,0.00261347592585507,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,0,2
"157",13742,0.0216130439050931,37,37,37,2374.69145583728,0.396396396396396,21,TRUE,0,0,0,13,0,8,3,27,51
"158",168192,0.00496166400276072,4,4,4,31.9985269684683,0.833333333333333,4,TRUE,0,0,0,2,1,3,0,0,6
"159",44939,0.0201222207994403,20,20,20,2865.05475551158,0.426315789473684,13,TRUE,0,0,0,11,2,9,29,10,61
"160",8061,0.0136447965364228,22,22,22,1247.64291329096,0.502164502164502,12,TRUE,0,0,0,1,1,3,0,1,6
"161",6399,0.0783098295703729,129,129,129,25154.0573910995,0.16969476744186,31,TRUE,0,0,0,89,4,41,6,0,140
"162",762,0.0681207563286266,88,88,88,27946.9132549587,0.207941483803553,30,TRUE,0,0,0,24,4,29,37,15,109
"163",285296,0.000474326491674013,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"164",7186,0.0136244398355071,16,16,16,417.971110970613,0.541666666666667,10,TRUE,0,0,0,2,1,0,3,0,6
"165",79260,0,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"166",605447,0.00196978332775552,1,1,1,0,NaN,1,TRUE,0,0,0,2,0,0,2,2,6
"167",127900,0.0160216033464443,23,23,23,1468.8120446267,0.379446640316206,13,TRUE,0,0,0,2,0,2,8,3,15
"168",43314,0.0149480200287182,14,14,14,169.001083969288,0.868131868131868,12,TRUE,0,0,0,4,0,1,2,4,11
"169",7378,0.0306222832464895,25,25,25,2181.70015975752,0.473333333333333,17,TRUE,0,0,0,5,1,10,1,7,24
"170",4805,0.0457917197467918,29,29,29,4328.95731728462,0.411330049261084,19,TRUE,0,0,0,7,6,16,13,5,47
"171",677817,0.00305683607148008,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,2,0,3
