"","users","evcent","in.degree","out.degree","total.degree","betweenness","transitivity","coreness","turnover","p","n","s","n.pull","n.issue","n.issue.c","n.pull.c","n.commit","n.interactions"
"133",116627,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"134",104587,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,1,3
"135",1139595,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,5,1,7
"136",167229,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"137",69736,0.0519168194334489,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,2,4
"138",580492,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"139",1612169,0.0441035663520783,2,2,2,0,1,2,TRUE,0,0,0,1,0,0,8,8,17
"140",5316,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,2,0,4
"141",1581288,0.0100671452888932,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"142",855813,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"143",1586931,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"144",799023,0.051916819433449,2,2,2,0,1,2,FALSE,0,0,0,2,0,0,1,1,4
"145",27435,0.0488296399191819,4,4,4,0,1,4,TRUE,0,0,0,1,0,0,10,0,11
"146",813003,0.0456724264753226,3,3,3,0,1,3,FALSE,0,0,0,1,0,0,1,0,2
"147",329888,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,1,3
"148",1168053,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,1,0,3
"149",1294785,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,2,7,10
"150",46036,0.0520202948579133,5,5,5,0,1,5,TRUE,0,0,0,2,0,0,2,3,7
"151",368248,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"152",4001219,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"153",27721,0.051916819433449,2,2,2,0,1,2,TRUE,0,0,0,1,0,0,2,3,6
"154",166954,0.095305343262217,14,14,14,0,1,14,FALSE,0,0,0,1,0,0,0,0,1
"155",112414,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,4,0,5
"156",2786457,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,0,2,4
"157",499038,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"158",767857,0.0533446543672232,6,6,6,10,0.6,4,FALSE,0,0,0,1,0,0,2,0,3
"159",112170,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,3,2,6
"160",192451,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,3,2,6
"161",41094,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"162",4931463,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"163",10137,0.0544537989392452,6,6,6,0,1,6,FALSE,0,0,0,4,0,0,3,0,7
"164",2783656,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,0,0,2
"165",444344,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,3,0,0,3,8,14
"166",1115514,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"167",317680,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"168",634113,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"169",793969,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,2,0,4
"170",527426,0.0519168194334489,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,2,0,3
"171",744493,0.0591889387388307,8,8,8,0,1,8,TRUE,0,0,0,1,0,0,5,0,6
"172",70969,0.0443840550690423,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,0,2
"173",3259557,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"174",82591,0.0719680819134011,11,11,11,0,1,11,FALSE,0,0,0,1,0,0,3,0,4
"175",2684299,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"176",97450,0.0665784322369369,7,7,7,14.1666666666667,0.761904761904762,6,TRUE,0,0,0,1,0,0,5,0,6
